abilityCode,abilityName,startingAge,episode1,episode2,episode3
4102002,絵本や物語への親しみ,3,自分で絵本を選んで繰り返し読む,「この本読んで」「もう一回読んで」、「次はこうなるんだよ」と先を話す,絵本を大切に抱える、ページをめくる
4102002,絵本や物語への親しみ,3,読み聞かせの時間に集中して耳を傾ける,「次はこうなるんだよ」と先を話す、登場人物のセリフを覚えて口にする,挿絵を指差してじっと見る
4102002,絵本や物語への親しみ,3,物語の場面をごっこ遊びで再現する,登場人物のセリフを覚えて口にする、「この本読んで」「もう一回読んで」,物語に合わせて笑ったり驚いた表情をする
4102003,豊かな語彙と表現の習得,4,新しく知った言葉を会話の中で使ってみる,「ふわふわ」「きらきら」など擬音語・擬態語を使う、「〇〇みたいだね」と例えて話す,言葉と合わせて身振り手振りをする
4102003,豊かな語彙と表現の習得,4,物事を比喩や例えを使って説明する,「〇〇みたいだね」と例えて話す、「昨日は〜」「きっと〜だよ」と時制や推量を使う,言葉を思い出そうと上を見る、考える仕草
4102003,豊かな語彙と表現の習得,4,状況に応じて言葉を使い分ける,「昨日は〜」「きっと〜だよ」と時制や推量を使う、「昨日は〜」「きっと〜だよ」と時制や推量を使う,意味を確かめるように保育士の顔を見る
4102004,経験や考えの言語表現,4,昨日の出来事や家での様子を話す,「〜したらね、〜だったの」と経験を語る、「だって〜だから」と理由を説明,指を折って順番に数えながら話す
4102004,経験や考えの言語表現,4,自分の考えや理由を順序立てて伝える,「だって〜だから」と理由を説明、「ぼくはこう思う」「〇〇したらいいんじゃない？」,身振りで大きさや動きを表現する
4102004,経験や考えの言語表現,4,遊びの中で自分のアイデアを提案する,「ぼくはこう思う」「〇〇したらいいんじゃない？」、,相手に伝わるよう顔を近づけて話す
4102005,相手の話を注意深く聴く力,4,話している相手の方へ体を向ける,「うん」「そうなんだ」と相槌、「それでどうなったの？」と質問を返す,目を見てうなずきながら聞く
4102005,相手の話を注意深く聴く力,4,最後まで遮らずに聞く,「それでどうなったの？」と質問を返す、「〇〇ちゃんはこう言ってたよ」と共有する,話が終わるまで手や口を止める
4102005,相手の話を注意深く聴く力,4,聞いた内容を他の友達に伝える,「〇〇ちゃんはこう言ってたよ」と共有する、「うん」「そうなんだ」と相槌を打つ,身を乗り出して耳を傾ける
4102006,言葉による伝え合いの楽しみ,3,友達と会話のキャッチボールを続ける,「ねぇねぇ聞いて」「あのさ〜」と話しかける、「じゃあ〇〇にしよう」と相談して決める,顔を見合わせて笑う
4102006,言葉による伝え合いの楽しみ,3,しりとり・なぞなぞ・言葉遊びを楽しむ,「じゃあ〇〇にしよう」と相談して決める、言葉遊びで笑い合い、やり取りを楽しむ,輪になって向かい合って話す
4102006,言葉による伝え合いの楽しみ,3,話し合いで意見を出し合って決める,言葉遊びで笑い合い、やり取りを楽しむ、「ねぇねぇ聞いて」「あのさ〜」と話しかける,うなずき合い、ハイタッチをする
5101001,感動を体験して感性を働かせる,3,虫や花を見つけてじっと観察したり、触れたりする,「きれい！」「すごい！」「見て見て！」と感嘆する、「ふわふわだね」「キラキラしてる」と感覚を言葉にする,目を輝かせる、口を開けて見入る
5101001,感動を体験して感性を働かせる,3,風や光、音の変化に気づいて立ち止まる,「ふわふわだね」「キラキラしてる」と感覚を言葉にする、「なんでこうなるの？」と不思議がって尋ねる,耳をすます、鼻を近づけて匂いを嗅ぐ
5101001,感動を体験して感性を働かせる,3,驚いたものを友達や保育士のもとへ呼びに行く,「なんでこうなるの？」と不思議がって尋ねる、「きれい！」「すごい！」「見て見て！」と感嘆する,空を見上げたり、しゃがんで凝視する
5101002,素材や表現方法への気付き,4,複数の素材（紙、粘土、葉、布等）を比べて選ぶ,「これザラザラしてる」「こっちの方が柔らかい」、「こうやったらできたよ」「混ぜたら色が変わった」,素材を触り比べる、握ったり伸ばしたりする
5101002,素材や表現方法への気付き,4,道具の使い方を工夫して試す（にじませる、重ねる等）,「こうやったらできたよ」「混ぜたら色が変わった」、「〇〇ちゃんみたいにやってみる」,じっと作品を見て首をかしげる
5101002,素材や表現方法への気付き,4,友達の表現方法を見て真似したり取り入れる,「〇〇ちゃんみたいにやってみる」、「これザラザラしてる」「こっちの方が柔らかい」,手を止めて考え、違うやり方を試す
5101003,自己で表現することの実践,4,自分なりのイメージで描く・作る・踊る・歌う,「これはね、〇〇なの」と作品の説明をする、歌や台詞を自分で作って口ずさむ,鼻歌を歌いながら手を動かす
5101003,自己で表現することの実践,4,思いついたことを身体や声で表す,歌や台詞を自分で作って口ずさむ、「自分でやる」「こうしたい」と意思を示す,リズムに合わせて体を揺らす
5101003,自己で表現することの実践,4,自分の作品に名前やストーリーをつける,「自分でやる」「こうしたい」と意思を示す、「これはね、〇〇なの」と作品の説明をする,作ったものを嬉しそうに掲げる
5101004,協同表現の楽しみ,3,友達と役割を分担して一つの作品を作る,「一緒にやろう」「〇〇ちゃんはこっちね」、「みんなで作ったね」,互いの作品を見せ合ってうなずく
5101004,協同表現の楽しみ,3,ごっこ遊びで役を決めて一緒に演じる,みんなで作ったね！「いいね！」「じゃあ次はこうしよう」,顔を見合わせて笑い合う
5101004,協同表現の楽しみ,3,合奏や合唱で友達と声・音を合わせる,「いいね！」「じゃあ次はこうしよう」、「一緒にやろう」「〇〇ちゃんはこっちね」,友達と手をつなぐ、肩を組む
5101005,表現の喜びと達成感,4,完成した作品を保育士や友達に見せに行く,「できた！」「見て！」と誇らしげに言う、「上手にできたでしょ」「頑張ったよ」,作品を大事そうに抱える
5101005,表現の喜びと達成感,4,飾ってほしいと頼む、持ち帰りたがる,「上手にできたでしょ」「頑張ったよ」、また明日もやりたい！,満足げな笑顔、胸を張る
5101005,表現の喜びと達成感,4,繰り返し同じ表現活動に取り組む,また明日もやりたい！「できた！」「見て！」と誇らしげに言う,拍手する、ガッツポーズをする
5101006,表現への意欲・モチベーション,4,自分から素材や道具を取りに行く,「次はこうしてみる」「もう一回やる」、「明日もつづきやる」,夢中になって長時間集中する
5101006,表現への意欲・モチベーション,4,途中で失敗しても何度もやり直す,明日もつづきやる！「〇〇作りたい」「やってみたい」,目を輝かせて素材に手を伸ばす
5101006,表現への意欲・モチベーション,4,新しい表現方法に進んで挑戦する,「〇〇作りたい」「やってみたい」、「次はこうしてみる」「もう一回やる」,片付け時間になっても名残惜しそうにする
