index,planPhraseId,planPeriodType,domainCode,domain,ageYears,phraseNo,phraseType,phraseText,source,status,sortOrder,note
132,PLAN-YEAR-4-004,YEAR,0,総合,4,4,年間計画,体を巧みに使う遊びを通して、いろいろな動きに挑戦し、できる喜びを味わう。,年齢別の姿_年間目標文例初版,active,904004,年間目標（5領域横断）
133,PLAN-YEAR-4-005,YEAR,0,総合,4,5,年間計画,走る、跳ぶ、投げる、支える、バランスを取るなど、複数の動きを組み合わせて遊ぶ楽しさを味わう。,年齢別の姿_年間目標文例初版,active,904005,年間目標（5領域横断）
134,PLAN-YEAR-4-006,YEAR,0,総合,4,6,年間計画,友達と一緒に体を動かして遊び、遊びの中で約束を守る大切さに気付く。,年齢別の姿_年間目標文例初版,active,904006,年間目標（5領域横断）
135,PLAN-YEAR-4-007,YEAR,0,総合,4,7,年間計画,自分の経験したことを言葉で伝え、保育士や友達とやり取りする楽しさを味わう。,年齢別の姿_年間目標文例初版,active,904007,年間目標（5領域横断）
136,PLAN-YEAR-4-008,YEAR,0,総合,4,8,年間計画,「いつ、どこで、だれが、何をしたか」などを言葉にしながら、経験を伝えようとする。,年齢別の姿_年間目標文例初版,active,904008,年間目標（5領域横断）
137,PLAN-YEAR-4-009,YEAR,0,総合,4,9,年間計画,身近な自然や生き物、物の仕組みに関心をもち、試したり調べたりする楽しさを味わう。,年齢別の姿_年間目標文例初版,active,904009,年間目標（5領域横断）
138,PLAN-YEAR-4-010,YEAR,0,総合,4,10,年間計画,イメージを膨らませ、友達と共有しながら、ごっこ遊びや表現遊びを楽しむ。,年齢別の姿_年間目標文例初版,active,904010,年間目標（5領域横断）
139,PLAN-YEAR-4-011,YEAR,0,総合,4,11,年間計画,友達と思いを伝え合いながら、同じ遊びを一緒に進める楽しさを味わう。,年齢別の姿_年間目標文例初版,active,904011,年間目標（5領域横断）
140,PLAN-YEAR-4-012,YEAR,0,総合,4,12,年間計画,友達との関わりの中で葛藤を経験しながら、自分の気持ちを調整しようとする。,年齢別の姿_年間目標文例初版,active,904012,年間目標（5領域横断）
141,PLAN-YEAR-4-013,YEAR,0,総合,4,13,年間計画,友達の気持ちに気付き、譲ったり待ったりしながら関わろうとする。,年齢別の姿_年間目標文例初版,active,904013,年間目標（5領域横断）
142,PLAN-YEAR-4-014,YEAR,0,総合,4,14,年間計画,自分の思いを大切にしながら、相手の思いにも気付いて関わろうとする。,年齢別の姿_年間目標文例初版,active,904014,年間目標（5領域横断）
143,PLAN-YEAR-4-015,YEAR,0,総合,4,15,年間計画,生活や遊びの中で、自分なりに考えたり工夫したりしながら、友達と一緒に活動する。,年齢別の姿_年間目標文例初版,active,904015,年間目標（5領域横断）
144,PLAN-YEAR-5-001,YEAR,0,総合,5,1,年間計画,年長児としての自覚をもち、生活や遊びを自分たちで進めようとする。,年齢別の姿_年間目標文例初版,active,905001,年間目標（5領域横断）
145,PLAN-YEAR-5-002,YEAR,0,総合,5,2,年間計画,当番活動や係活動などを通して、クラスの一員として役割を果たす喜びを味わう。,年齢別の姿_年間目標文例初版,active,905002,年間目標（5領域横断）
146,PLAN-YEAR-5-003,YEAR,0,総合,5,3,年間計画,生活の流れや活動の見通しをもち、自分で考えて行動する。,年齢別の姿_年間目標文例初版,active,905003,年間目標（5領域横断）
147,PLAN-YEAR-5-004,YEAR,0,総合,5,4,年間計画,友達と役割を分担しながら、生活や遊びを共に作り上げようとする。,年齢別の姿_年間目標文例初版,active,905004,年間目標（5領域横断）
148,PLAN-YEAR-5-005,YEAR,0,総合,5,5,年間計画,竹馬、縄跳び、鬼遊びなど、複雑な動きや継続的な運動に挑戦し、達成感を味わう。,年齢別の姿_年間目標文例初版,active,905005,年間目標（5領域横断）
149,PLAN-YEAR-5-006,YEAR,0,総合,5,6,年間計画,自分の体の動きを調整しながら、目的に向かって繰り返し取り組もうとする。,年齢別の姿_年間目標文例初版,active,905006,年間目標（5領域横断）
150,PLAN-YEAR-5-007,YEAR,0,総合,5,7,年間計画,友達と目標を共有し、励まし合いながら活動に取り組む楽しさを味わう。,年齢別の姿_年間目標文例初版,active,905007,年間目標（5領域横断）
151,PLAN-YEAR-5-008,YEAR,0,総合,5,8,年間計画,自分の思いや考えを言葉で表現し、相手に分かるように伝えようとする。,年齢別の姿_年間目標文例初版,active,905008,年間目標（5領域横断）
152,PLAN-YEAR-5-009,YEAR,0,総合,5,9,年間計画,友達の話を聞き、考えを受け止めながら、話し合って活動を進めようとする。,年齢別の姿_年間目標文例初版,active,905009,年間目標（5領域横断）
153,PLAN-YEAR-5-010,YEAR,0,総合,5,10,年間計画,言葉を使って考えたり、説明したり、遊びや活動の進め方を相談しようとする。,年齢別の姿_年間目標文例初版,active,905010,年間目標（5領域横断）
154,PLAN-YEAR-5-011,YEAR,0,総合,5,11,年間計画,文字や記号、簡単な読み書きに親しみ、生活や遊びの中で使う楽しさを味わう。,年齢別の姿_年間目標文例初版,active,905011,年間目標（5領域横断）
155,PLAN-YEAR-5-012,YEAR,0,総合,5,12,年間計画,身近な自然や物事に対して予想したり試したりしながら、考える力や探究心をもつ。,年齢別の姿_年間目標文例初版,active,905012,年間目標（5領域横断）
156,PLAN-YEAR-5-013,YEAR,0,総合,5,13,年間計画,友達と共通の目的をもち、考えを出し合いながら協同的に活動しようとする。,年齢別の姿_年間目標文例初版,active,905013,年間目標（5領域横断）
157,PLAN-YEAR-5-014,YEAR,0,総合,5,14,年間計画,友達の気持ちや立場を理解し、互いに認め合いながら関わろうとする。,年齢別の姿_年間目標文例初版,active,905014,年間目標（5領域横断）
158,PLAN-YEAR-5-015,YEAR,0,総合,5,15,年間計画,クラスの仲間と力を合わせて活動をやり遂げる中で、充実感や達成感を味わう。,年齢別の姿_年間目標文例初版,active,905015,年間目標（5領域横断）
159,PLAN-YEAR-5-016,YEAR,0,総合,5,16,年間計画,年下の子や身近な人との関わりを通して、思いやりや役に立つ喜びを感じる。,年齢別の姿_年間目標文例初版,active,905016,年間目標（5領域横断）
160,PLAN-YEAR-5-017,YEAR,0,総合,5,17,年間計画,自分たちで課題に気付き、相談したり工夫したりしながら解決しようとする。,年齢別の姿_年間目標文例初版,active,905017,年間目標（5領域横断）
161,PLAN-YEAR-5-018,YEAR,0,総合,5,18,年間計画,就学に向けて、生活への見通し、自分で考える力、友達と協力する力をもつ。,年齢別の姿_年間目標文例初版,active,905018,年間目標（5領域横断）
162,PLAN-TERM-3-Q1-001,TERM,0,総合,3,1,4〜6月のねらい,新しい保育室や保育士との関わりの中で安心して過ごし、園生活の流れに少しずつ慣れていく。,季節ごとの保育所の様子_四半期計画文例初版,active,803101,四半期計画（5領域横断）
163,PLAN-TERM-3-Q1-002,TERM,0,総合,3,2,4〜6月のねらい,保育士に見守られながら、食事、排せつ、着脱、片付けなど身の回りのことを自分でしようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,803102,四半期計画（5領域横断）
164,PLAN-TERM-3-Q1-003,TERM,0,総合,3,3,4〜6月のねらい,好きな遊びや安心できる場所を見つけ、保育士や友達と一緒に遊ぶ楽しさを感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,803103,四半期計画（5領域横断）
165,PLAN-TERM-3-Q1-004,TERM,0,総合,3,4,4〜6月のねらい,戸外で春の自然に触れながら、走る、歩く、登るなど体を動かして遊ぶ心地よさを味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,803104,四半期計画（5領域横断）
166,PLAN-TERM-3-Q1-005,TERM,0,総合,3,5,4〜6月のねらい,雨の日や梅雨時期の自然に興味をもち、見たり触れたりしながら発見を楽しむ。,季節ごとの保育所の様子_四半期計画文例初版,active,803105,四半期計画（5領域横断）
167,PLAN-TERM-3-Q2-001,TERM,0,総合,3,1,7〜9月のねらい,水遊びや泥んこ遊びを通して、水や砂、泥などの感触を十分に味わいながら遊ぶ。,季節ごとの保育所の様子_四半期計画文例初版,active,803201,四半期計画（5領域横断）
168,PLAN-TERM-3-Q2-002,TERM,0,総合,3,2,7〜9月のねらい,暑い時期の生活に慣れ、水分補給や休息を取りながら健康に過ごそうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,803202,四半期計画（5領域横断）
169,PLAN-TERM-3-Q2-003,TERM,0,総合,3,3,7〜9月のねらい,夏ならではの行事や遊びに参加し、保育士や友達と一緒に楽しむ。,季節ごとの保育所の様子_四半期計画文例初版,active,803203,四半期計画（5領域横断）
170,PLAN-TERM-3-Q2-004,TERM,0,総合,3,4,7〜9月のねらい,久しぶりに会う友達や保育士との関わりを喜び、安心して園生活を再開する。,季節ごとの保育所の様子_四半期計画文例初版,active,803204,四半期計画（5領域横断）
171,PLAN-TERM-3-Q2-005,TERM,0,総合,3,5,7〜9月のねらい,夏から秋への自然の変化に気付き、空、風、虫、草花などに興味をもつ。,季節ごとの保育所の様子_四半期計画文例初版,active,803205,四半期計画（5領域横断）
172,PLAN-TERM-3-Q3-001,TERM,0,総合,3,1,10〜12月のねらい,気候のよい季節に、戸外で体を動かして遊ぶ楽しさを十分に味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,803301,四半期計画（5領域横断）
173,PLAN-TERM-3-Q3-002,TERM,0,総合,3,2,10〜12月のねらい,簡単なルールのある遊びに参加し、保育士や友達と一緒に遊ぶ楽しさを感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,803302,四半期計画（5領域横断）
174,PLAN-TERM-3-Q3-003,TERM,0,総合,3,3,10〜12月のねらい,木の実や落ち葉など秋の自然物に触れ、見立てたり並べたりしながら遊びに取り入れる。,季節ごとの保育所の様子_四半期計画文例初版,active,803303,四半期計画（5領域横断）
175,PLAN-TERM-3-Q3-004,TERM,0,総合,3,4,10〜12月のねらい,寒さに負けず体を動かして遊び、健康に過ごす心地よさを感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,803304,四半期計画（5領域横断）
176,PLAN-TERM-3-Q3-005,TERM,0,総合,3,5,10〜12月のねらい,手洗い、うがい、衣服の調整など、健康に過ごすための習慣を保育士と一緒に行おうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,803305,四半期計画（5領域横断）
177,PLAN-TERM-3-Q4-001,TERM,0,総合,3,1,1〜3月のねらい,正月遊びや伝承遊びに親しみ、保育士や友達と一緒に繰り返し楽しむ。,季節ごとの保育所の様子_四半期計画文例初版,active,803401,四半期計画（5領域横断）
178,PLAN-TERM-3-Q4-002,TERM,0,総合,3,2,1〜3月のねらい,できるようになったことを喜び、自分でしようとする気持ちや自信をもって生活する。,季節ごとの保育所の様子_四半期計画文例初版,active,803402,四半期計画（5領域横断）
179,PLAN-TERM-3-Q4-003,TERM,0,総合,3,3,1〜3月のねらい,友達との関わりを広げ、一緒に遊ぶ楽しさや同じ場で過ごす心地よさを味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,803403,四半期計画（5領域横断）
180,PLAN-TERM-3-Q4-004,TERM,0,総合,3,4,1〜3月のねらい,春の気配や身近な自然の変化に気付き、進級への期待をもちながら過ごす。,季節ごとの保育所の様子_四半期計画文例初版,active,803404,四半期計画（5領域横断）
181,PLAN-TERM-3-Q4-005,TERM,0,総合,3,5,1〜3月のねらい,3歳児クラスでの生活を振り返り、安心した関わりの中で進級に向かおうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,803405,四半期計画（5領域横断）
182,PLAN-TERM-4-Q1-001,TERM,0,総合,4,1,4〜6月のねらい,新しい生活の流れに慣れ、自分でできることに進んで取り組もうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,804101,四半期計画（5領域横断）
183,PLAN-TERM-4-Q1-002,TERM,0,総合,4,2,4〜6月のねらい,保育士や友達との関わりの中で安心して過ごし、好きな遊びを見つけて楽しむ。,季節ごとの保育所の様子_四半期計画文例初版,active,804102,四半期計画（5領域横断）
184,PLAN-TERM-4-Q1-003,TERM,0,総合,4,3,4〜6月のねらい,友達と一緒に遊ぶ中で、自分の思いを伝えたり、相手の思いに気付いたりする。,季節ごとの保育所の様子_四半期計画文例初版,active,804103,四半期計画（5領域横断）
185,PLAN-TERM-4-Q1-004,TERM,0,総合,4,4,4〜6月のねらい,春から梅雨にかけての自然に興味をもち、気付いたことや感じたことを言葉で伝えようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,804104,四半期計画（5領域横断）
186,PLAN-TERM-4-Q1-005,TERM,0,総合,4,5,4〜6月のねらい,戸外遊びや室内での運動遊びを通して、いろいろな動きに挑戦する。,季節ごとの保育所の様子_四半期計画文例初版,active,804105,四半期計画（5領域横断）
187,PLAN-TERM-4-Q2-001,TERM,0,総合,4,1,7〜9月のねらい,水遊び、色水遊び、泥んこ遊びなどを通して、素材や感触の違いを楽しみながら工夫して遊ぶ。,季節ごとの保育所の様子_四半期計画文例初版,active,804201,四半期計画（5領域横断）
188,PLAN-TERM-4-Q2-002,TERM,0,総合,4,2,7〜9月のねらい,暑い時期の過ごし方を知り、水分補給や休息、着替えなどを自分でしようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,804202,四半期計画（5領域横断）
189,PLAN-TERM-4-Q2-003,TERM,0,総合,4,3,7〜9月のねらい,夏ならではの行事や異年齢の友達との関わりを通して、人と関わる楽しさを味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,804203,四半期計画（5領域横断）
190,PLAN-TERM-4-Q2-004,TERM,0,総合,4,4,7〜9月のねらい,夏の経験を保育士や友達に話し、言葉で伝え合う楽しさを感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,804204,四半期計画（5領域横断）
191,PLAN-TERM-4-Q2-005,TERM,0,総合,4,5,7〜9月のねらい,秋の気配や季節の変化に気付き、自然への興味や探究心を広げる。,季節ごとの保育所の様子_四半期計画文例初版,active,804205,四半期計画（5領域横断）
192,PLAN-TERM-4-Q3-001,TERM,0,総合,4,1,10〜12月のねらい,運動会や遠足などの行事に期待をもち、友達と一緒に目的をもって活動する。,季節ごとの保育所の様子_四半期計画文例初版,active,804301,四半期計画（5領域横断）
193,PLAN-TERM-4-Q3-002,TERM,0,総合,4,2,10〜12月のねらい,鬼ごっこやしっぽ取りなどルールのある遊びを通して、約束を守って遊ぶ楽しさを味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,804302,四半期計画（5領域横断）
194,PLAN-TERM-4-Q3-003,TERM,0,総合,4,3,10〜12月のねらい,木の実や落ち葉などの自然物を使い、イメージを膨らませながら作ったり表現したりする。,季節ごとの保育所の様子_四半期計画文例初版,active,804303,四半期計画（5領域横断）
195,PLAN-TERM-4-Q3-004,TERM,0,総合,4,4,10〜12月のねらい,寒い季節にも体を動かして遊び、健康に過ごすための生活習慣に気付く。,季節ごとの保育所の様子_四半期計画文例初版,active,804304,四半期計画（5領域横断）
196,PLAN-TERM-4-Q3-005,TERM,0,総合,4,5,10〜12月のねらい,友達との関わりの中で、譲る、待つ、相談するなどの経験を重ねる。,季節ごとの保育所の様子_四半期計画文例初版,active,804305,四半期計画（5領域横断）
197,PLAN-TERM-4-Q4-001,TERM,0,総合,4,1,1〜3月のねらい,凧あげ、コマ回しなどの伝承遊びに挑戦し、繰り返し取り組む楽しさを味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,804401,四半期計画（5領域横断）
198,PLAN-TERM-4-Q4-002,TERM,0,総合,4,2,1〜3月のねらい,クラスの友達と一緒に遊びや活動を進める中で、まとまりや一体感を感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,804402,四半期計画（5領域横断）
199,PLAN-TERM-4-Q4-003,TERM,0,総合,4,3,1〜3月のねらい,1年間でできるようになったことに気付き、自信をもって生活しようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,804403,四半期計画（5領域横断）
200,PLAN-TERM-4-Q4-004,TERM,0,総合,4,4,1〜3月のねらい,発表会や年度末の活動に向けて、自分なりに表現したり友達と協力したりする。,季節ごとの保育所の様子_四半期計画文例初版,active,804404,四半期計画（5領域横断）
201,PLAN-TERM-4-Q4-005,TERM,0,総合,4,5,1〜3月のねらい,進級への期待をもち、身の回りのことや生活の見通しをもって行動しようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,804405,四半期計画（5領域横断）
202,PLAN-TERM-5-Q1-001,TERM,0,総合,5,1,4〜6月のねらい,年長児としての生活に期待をもち、生活や遊びを自分たちで進めようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805101,四半期計画（5領域横断）
203,PLAN-TERM-5-Q1-002,TERM,0,総合,5,2,4〜6月のねらい,新しいクラスの友達や保育士との関わりを深め、安心して自分の思いを出しながら過ごす。,季節ごとの保育所の様子_四半期計画文例初版,active,805102,四半期計画（5領域横断）
204,PLAN-TERM-5-Q1-003,TERM,0,総合,5,3,4〜6月のねらい,当番活動や係活動などを通して、クラスの一員として役割を果たそうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805103,四半期計画（5領域横断）
205,PLAN-TERM-5-Q1-004,TERM,0,総合,5,4,4〜6月のねらい,春から梅雨にかけての自然や身近な事象に関心をもち、気付いたことを友達と伝え合う。,季節ごとの保育所の様子_四半期計画文例初版,active,805104,四半期計画（5領域横断）
206,PLAN-TERM-5-Q1-005,TERM,0,総合,5,5,4〜6月のねらい,友達と相談しながら遊びや生活の進め方を考え、協力して活動しようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805105,四半期計画（5領域横断）
207,PLAN-TERM-5-Q2-001,TERM,0,総合,5,1,7〜9月のねらい,水遊びや夏ならではの活動を通して、全身を使って遊ぶ楽しさや開放感を味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,805201,四半期計画（5領域横断）
208,PLAN-TERM-5-Q2-002,TERM,0,総合,5,2,7〜9月のねらい,暑い時期の健康や安全に気を付け、自分で考えて休息や水分補給をしようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805202,四半期計画（5領域横断）
209,PLAN-TERM-5-Q2-003,TERM,0,総合,5,3,7〜9月のねらい,夏祭りやお泊り保育などの行事に向けて、友達と相談したり役割を分担したりしながら活動する。,季節ごとの保育所の様子_四半期計画文例初版,active,805203,四半期計画（5領域横断）
210,PLAN-TERM-5-Q2-004,TERM,0,総合,5,4,7〜9月のねらい,夏の経験を言葉で伝え合い、友達の経験や考えにも関心をもつ。,季節ごとの保育所の様子_四半期計画文例初版,active,805204,四半期計画（5領域横断）
211,PLAN-TERM-5-Q2-005,TERM,0,総合,5,5,7〜9月のねらい,季節の移り変わりに気付き、自然の変化を遊びや活動に取り入れようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805205,四半期計画（5領域横断）
212,PLAN-TERM-5-Q3-001,TERM,0,総合,5,1,10〜12月のねらい,運動会や遠足などの行事に向けて、友達と目的を共有し、力を合わせて取り組む。,季節ごとの保育所の様子_四半期計画文例初版,active,805301,四半期計画（5領域横断）
213,PLAN-TERM-5-Q3-002,TERM,0,総合,5,2,10〜12月のねらい,ルールのある集団遊びを通して、作戦を考えたり約束を守ったりしながら遊びを深める。,季節ごとの保育所の様子_四半期計画文例初版,active,805302,四半期計画（5領域横断）
214,PLAN-TERM-5-Q3-003,TERM,0,総合,5,3,10〜12月のねらい,秋の自然物や季節の行事に触れ、感じたことやイメージを制作や表現に取り入れる。,季節ごとの保育所の様子_四半期計画文例初版,active,805303,四半期計画（5領域横断）
215,PLAN-TERM-5-Q3-004,TERM,0,総合,5,4,10〜12月のねらい,寒くなる時期の健康習慣に関心をもち、手洗い、うがい、衣服の調整などを自分から行おうとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805304,四半期計画（5領域横断）
216,PLAN-TERM-5-Q3-005,TERM,0,総合,5,5,10〜12月のねらい,友達と意見を出し合い、互いの考えを受け止めながら活動を進める。,季節ごとの保育所の様子_四半期計画文例初版,active,805305,四半期計画（5領域横断）
217,PLAN-TERM-5-Q4-001,TERM,0,総合,5,1,1〜3月のねらい,正月遊びや伝承遊びに繰り返し挑戦し、できるようになる喜びや達成感を味わう。,季節ごとの保育所の様子_四半期計画文例初版,active,805401,四半期計画（5領域横断）
218,PLAN-TERM-5-Q4-002,TERM,0,総合,5,2,1〜3月のねらい,発表会やお別れ行事などに向けて、友達と協力しながら活動を作り上げる。,季節ごとの保育所の様子_四半期計画文例初版,active,805402,四半期計画（5領域横断）
219,PLAN-TERM-5-Q4-003,TERM,0,総合,5,3,1〜3月のねらい,クラスの仲間と過ごした1年間を振り返り、互いのよさを認め合いながら関わる。,季節ごとの保育所の様子_四半期計画文例初版,active,805403,四半期計画（5領域横断）
220,PLAN-TERM-5-Q4-004,TERM,0,総合,5,4,1〜3月のねらい,就学に向けて、生活の見通しをもち、自分で考えて行動しようとする。,季節ごとの保育所の様子_四半期計画文例初版,active,805404,四半期計画（5領域横断）
221,PLAN-TERM-5-Q4-005,TERM,0,総合,5,5,1〜3月のねらい,進級・就学への期待をもち、年下の子や身近な人との関わりの中で思いやりや役に立つ喜びを感じる。,季節ごとの保育所の様子_四半期計画文例初版,active,805405,四半期計画（5領域横断）
